,NO,약국명,업무구분,대표전화,주소,월요일 진료,화요일 진료,수요일 진료,목요일 진료,금요일 진료,토요일 진료,일요일 진료,공휴일 진료,위도,경도
43,44,삼성온누리약국,약국,033-264-0003,"강원도 춘천시 효석로 37 (효자동, 엘로이빌딩 1층)",08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,08:30~19:30,08:30~14:00,,,37.863182911,127.735757523
44,45,대룡산약국,약국,033-261-9639,강원도 춘천시 동내면 춘천순환로 58,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,08:30~22:00,09:00~19:00,09:00~19:00,37.855043092,127.750344993
45,46,웰약국,약국,033-261-1172,"강원도 춘천시 효석로 5, 1층 (효자동)",08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~13:00,,,37.864838774,127.732814867
46,47,하나로약국,약국,033-264-5959,강원도 춘천시 동내면 공지로 76,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,,,37.854112362,127.751042933
47,48,코끼리약국,약국,033-264-9800,강원도 춘천시 퇴계로 207 (석사동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,,,37.856801444,127.741581414
48,49,춘약국,약국,033-263-3578,강원도 춘천시 퇴계로 187 (석사동),09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:00~13:00,,,37.857603040,127.739560612
49,50,은약국,약국,033-262-8235,강원도 춘천시 후석로 22 (석사동),09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,,,37.856751131,127.740278067
50,51,믿음약국,약국,033-263-5653,"강원도 춘천시 퇴계로 188, 1층 105호 (석사동)",08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~13:00,,,37.857066373,127.739365519
51,52,퇴계종합약국,약국,033-262-9754,강원도 춘천시 퇴계로 166 (퇴계동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,,09:00~13:00,37.858178616,127.737453365
52,53,종로약국,약국,033-264-1100,강원도 춘천시 후석로 16 (석사동),08:40~21:00,08:40~21:00,08:40~21:00,08:40~21:00,08:40~21:00,08:40~16:00,,08:40~20:00,37.856454871,127.739896105
53,54,은행약국,약국,033-241-7606,강원도 춘천시 동면 춘천로 455,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~13:00,,,37.892826340,127.755309226
54,55,새천년약국,약국,033-263-8375,"강원도 춘천시 후석로 12, 1층 1호 (석사동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,,,37.856131902,127.739549116
55,56,윤슬약국,약국,033-262-6207,"강원도 춘천시 후석로 7, 1층 (석사동)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~13:30,,,37.856323958,127.738964246
56,57,새봄약국,약국,033-264-5482,강원도 춘천시 퇴계로105번길 5 (퇴계동),08:30~18:00,08:30~18:00,08:30~14:00,08:30~18:00,08:30~18:00,08:30~13:00,,,37.861814430,127.731981166
57,58,파랑새약국,약국,033-264-2332,강원도 춘천시 퇴계로93번길 4-8 (퇴계동),08:30~17:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~14:30,,,37.861876460,127.731664443
58,59,바다약국,약국,0332629716,강원도 춘천시 영서로 2025 (석사동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,37.852582642,127.745762285
59,60,세운약국,약국,033-264-7880,강원도 춘천시 퇴계농공로 10 (석사동),09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~14:00,,,37.852367344,127.744030489
60,61,행복한정약국,약국,033-263-2663,강원도 춘천시 영서로2141번길 13 (퇴계동),09:00~15:00,09:00~15:00,09:00~15:00,09:00~15:00,09:00~15:00,,,,37.856728857,127.735000852
61,62,홍온누리약국,약국,033-261-0855,강원도 춘천시 지석로 89 (석사동),09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,,,37.851080720,127.745295418
62,63,사랑이가득한약국,약국,033-264-9656,"강원도 춘천시 지석로 85 (석사동, 강남플라자B/D 108호)",09:00~19:00,09:00~19:00,09:00~18:30,09:00~18:30,09:00~19:00,09:00~13:30,,,37.851149593,127.744862324
63,64,경희마루한약국,약국,033-261-8882,"강원도 춘천시 안마산로 346, 1층 (석사동)",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~14:00,,,37.850255027,127.748855131
64,65,프라임약국,약국,033-262-6233,강원도 춘천시 퇴계농공로 22 (석사동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,,,37.851219060,127.744115531
65,66,보배약국,약국,033-264-1104,"강원도 춘천시 지석로 11 (퇴계동, 춘천축산농협하나로마트 퇴계점)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~13:00,,,37.854179664,127.737833706
66,67,조은약국,약국,070-4412-3054,"강원도 춘천시 김유정로 1874, 1층 103,104호 (퇴계동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~14:00,,,37.853588873,127.736281524
67,68,신우약국,약국,033-261-6400,"강원도 춘천시 김유정로 1852-35, 1층 101호 (퇴계동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,,,37.851218516,127.736033542
68,69,해솔약국,약국,033-263-9631,강원도 춘천시 안마산로 199 (퇴계동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,09:00~18:00,09:00~13:00,,10:00~13:00,37.850560809,127.736353805
69,70,홈플러스약국,약국,033-263-3142,강원도 춘천시 김유정로 1840 (퇴계동),10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,10:00~20:00,10:00~22:00,10:00~22:00,10:00~22:00,37.850630835,127.734771762
